epoch,train_loss,val_loss,model,best_epoch,best_val_loss
1,0.5523391544171001,0.12415680236050061,LSTM,9,0.002107205634404506
2,0.09877950471380482,0.07984126971236297,LSTM,9,0.002107205634404506
3,0.04758674258609181,0.0573214486773525,LSTM,9,0.002107205634404506
4,0.03314769729647948,0.01547344374869551,LSTM,9,0.002107205634404506
5,0.02924125052421637,0.004847414226138166,LSTM,9,0.002107205634404506
6,0.024796567675050184,0.0038284470460244586,LSTM,9,0.002107205634404506
7,0.025689132916538612,0.0032179234216787984,LSTM,9,0.002107205634404506
8,0.026727420642324116,0.0036394926719367504,LSTM,9,0.002107205634404506
9,0.023933813897082986,0.002107205634404506,LSTM,9,0.002107205634404506
10,0.02526469913351795,0.0022328009363263845,LSTM,9,0.002107205634404506
11,0.023443207711629246,0.002663448536103325,LSTM,9,0.002107205634404506
12,0.022334077780175467,0.0022812546397160205,LSTM,9,0.002107205634404506
13,0.023259666606621897,0.0025951082685164045,LSTM,9,0.002107205634404506
14,0.022803499444347362,0.0022149908057014856,LSTM,9,0.002107205634404506
